model,case_id,loss_ML,loss_MH,loss_MLrbf,loss_MHpca4
GPT-OSS,C002,0.1445828584247171,0.3515878037529722,0.15379369089279352,0.29512263683475914
GPT-OSS,C003,0.2473316822412353,0.39779200791899527,0.27108834212530003,0.255724867673492
GPT-OSS,C004,0.23086293603266528,0.051763678783628975,0.23346782318262868,0.16253032337653475
GPT-OSS,C005,0.28608502176790973,0.2525816387477303,0.31621704679051665,0.29112099383534573
GPT-OSS,C006,0.6861139254061197,0.5945272124767366,0.7456718408605745,0.6791793777476695
GPT-OSS,C007,0.2968073662993206,0.17917293910592508,0.28695281351966445,0.29388226302961984
GPT-OSS,C008,0.2555987125294221,0.2453790379841755,0.23862714008406635,0.43303846304031984
GPT-OSS,C009,0.36287253242899103,0.2086284305707645,0.3943566000754483,0.29691223478155765
GPT-OSS,C010,0.3345984196053518,0.10969414403704678,0.36967764732743613,0.2303732995859093
GPT-OSS,C011,0.6956649671256243,0.7541988734409072,0.7928075958068426,0.5627409489728519
GPT-OSS,C012,0.42953255843689836,0.3970983893802876,0.37583146082669705,0.4241474212241755
GPT-OSS,C013,0.30179920872053,0.3222551849754497,0.26902903171737935,0.3476904044917398
GPT-OSS,C014,0.1648357705585158,0.20791033481342738,0.14745840550379624,0.21422596096248542
GPT-OSS,C015,0.3979225770451748,0.34127879689431123,0.38730643524890374,0.4146095413270915
GPT-OSS,C016,1.3954333414951277,0.8641273982764375,1.4105308894822184,1.1003550563602267
GPT-OSS,C017,1.4809116512728604,0.5695867037707933,1.5845973279215306,1.250103871194028
GPT-OSS,C018,0.25433742686496474,0.1139451553402113,0.271380422856045,0.3105636930579123
GPT-OSS,C019,1.7814603485953189,0.8064118616886342,1.8436935691517118,1.7549906155389106
GPT-OSS,C020,0.890697841467548,0.5108167113552364,0.8918775812594145,0.9016527170226304
GPT-OSS,C021,0.41783605313684136,0.2680062516087942,0.3703855365192544,0.21025835512307106
GPT-OSS,C022,0.24470723780595352,0.3712045140834463,0.2427123441842564,0.2845631881054251
GPT-OSS,C023,0.26930682992000915,0.2322433416872769,0.2793188666404774,0.28516334207227595
GPT-OSS,C024,0.31209987919946053,0.04339407034917223,0.3007793487533752,0.13280137889153323
GPT-OSS,C025,0.2318897394908316,0.10352348548730259,0.23293812663101293,0.2622883579558071
GPT-OSS,C026,0.8175325216328657,0.8324547997882146,0.9572112563965909,0.9226881195854455
GPT-OSS,C027,0.22826927912773004,0.12387635878788528,0.18051731817739486,0.39125480373189025
GPT-OSS,C028,0.6594088391683098,0.8396342962157964,0.6601293182342192,0.673630719203597
GPT-OSS,C029,0.2726666122624891,0.21620270571270828,0.22414738979650806,0.30071399520510117
GPT-OSS,C030,0.31324879046074894,0.4538144504886604,0.2972827065655031,0.3521598113596117
GPT-OSS,C031,0.2736146226229878,0.18514696457134378,0.2569244851528845,0.18574992918194275
GPT-OSS,C032,0.2960710626614483,0.22188015263184946,0.31791428265474864,0.33112839692689955
GPT-OSS,C033,0.21129633893983585,0.18250328358673934,0.210787071580401,0.24869886710392558
GPT-OSS,C034,0.22702823264316813,0.10815009914167754,0.21274987250946617,0.19945265482443517
GPT-OSS,C035,0.11101339449718048,0.009027682657192258,0.09410895986972258,0.1063408619303277
GPT-OSS,C036,0.32135691286187734,0.1780289098982765,0.38972961583292287,0.20732908853540097
GPT-OSS,C037,0.33514634795582293,0.5927619962743976,0.3614578197241138,0.32737315774659576
GPT-OSS,C038,2.411174400712455,1.3654296210571712,2.446710340721859,2.363426017823115
GPT-OSS,C039,0.22963630361919862,0.052154524310682314,0.22478993946166695,0.20554001995272686
GPT-OSS,C040,0.21156434748768307,0.6329806600667519,0.21021678680108652,0.2965464333640541
GPT-OSS,D001,0.7807733164392283,1.0122935109094304,0.8380167184004067,0.8639710595793186
GPT-OSS,D002,0.5104336524615516,0.7207084785678959,0.5436332155146241,0.6916093926540163
GPT-OSS,D003,0.49487379213751365,0.5113527472811346,0.4651166776810619,0.473359213599739
GPT-OSS,D004,0.28138630169071377,0.23818919405241634,0.24562944867055472,0.2951648987393226
GPT-OSS,D005,0.5237853314760053,0.564613964788909,0.4081643167878025,0.3611153338072962
GPT-OSS,D006,0.6992414292343301,0.3776240219803487,0.8452510752343054,0.5681467648143581
GPT-OSS,D007,0.37230031588234613,0.22816109282014488,0.31450687156924284,0.3573660539186447
GPT-OSS,D008,0.3809460246609674,0.18306907493189342,0.373575801815863,0.3161263123620322
GPT-OSS,D009,0.6525244267713148,0.22560558254280916,0.6366527629093418,0.42993256604607666
GPT-OSS,D010,1.3118244136931927,2.0120914114920723,1.377647481711468,1.5929710086526736
GPT-OSS,D011,0.5328172914461289,0.23934291339798106,0.4113015844383142,0.4221648258064016
GPT-OSS,D012,0.3298815499620643,0.7248990874941297,0.29115898914289806,0.3810952019054636
